'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
Professor sagt nicht eindeutig, wann der erste Prüfungstermin stattfindet --> eventuell nächste Woche oder doch Anfang März --> wann soll dafür gelernt werden, wenn wir nicht einmal eine Woche vor dem möglichen Prüfungstermin nicht Bescheid bekommen? Studierende müssen sich alle Prüfungstermine einteilen, weswegen sie nicht spontan in einer Woche eine Prüfung schreiben können!'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine'
'c6f9bda4364940c';'20W';'VO';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'An der Lehrveranstaltung hat mir persönlich grundlegend alles gefallen. Leider habe ich es schade und bedenkenswert gefunden, dass die angesetzte Prüfung Ende Jänner kurzfristig abgesagt wurde. Da ich mich schon im intensiven Lernprozess befand, musste ich einiges umdisponieren. '
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Vorbereitung durch das Porfolio auf Prüfung und weiteres Studium'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'- Portfolio, da man da man die Lerninhalte darin nochmal persönlich reflektiert

'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die hohe Kompetenz der LV-Leiterin und des LV-Leiters.
Sehr angenehme Sprechstimmen und -geschwindigkeit. 
Klare Vorgaben, was gefordert wird. 
Gut strukturierte LV.'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Die Vorstellungen der LV-Leiter, gerade was die Präsentationen betrifft, werden erst nach und nach klar. Hier musste öfter nachgebessert werden, was leicht vermieden hätte werden können. Generell sind die Formulierungen was erwartet wird, äußerst schwammig und oftmals unzulänglich formuliert. Konkret fehlt u.a. eine Gewichtung der Leistungen, immerhin ist eine Präsentation, eine Klausur und ein Portfolio zu gestalten, dessen Seitenumfang und zu verwendende Layoutvorgaben nicht bekannt sind. Bitte erklären Sie ganz genau, was und in welcher Form sie sich die Leistungen erwarten. Dies erleichtert uns und Ihnen die Teilnahme an der LV und ein positives Erleben dieser. '
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Referate waren mehrmals eintönig und somit fiel es mir schwer, aufmerksam dabei zu bleiben. Das Ablesen des eigenen Referatstextes finde ich persönlich als ZuhörerIn ermüdend. Eventuell wäre es möglich, dies im Vorfeld mit den StudentInnen genauer zu besprechen. '
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Zu viel Aufwand für die verdienten ECTS Punkte, die Referate haben mich eher beim Lernen gehindert, als mir zu helfen, Allgemeine Infos durch sie Professoren mit anschließender Gruppenbesprechung wären besser gewesen, oft zu tiefes Eintauchen in Gebiete, obwohl es eine Einfühungsveranstaltung sein soll'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'- die Texte waren zum Teil sehr schwer zu verstehen 
- unübersichtlicher Lernstoff
- Die Ausarbeitung der Texte von den Referenten und Referentinnen teils sehr gut, teils weniger gut, da die Texte nicht leicht zu verstehen waren
- evtl. kürzere Referate und dafür mehr Input der LV-Leiter'
'ee696d9690d50b1';'20W';'VC';2.0;3.0;'50';'genehmigt';'Uni';'OPTIONEN';'Gesamt gesehen halte ich diese LV für:
';' 1:sehr gut(1/j), 2:gut(2/n), 3:durchschnittlich(4/n), 4:schlecht(8/n), 5:sehr schlecht(16/j), 6:keine Antwort(-3/j)';'4';'3';'Aufgrund des großen Stoffgebiets, das abgedeckt wurde, wird hier auf ein "schlecht" verzichtet.'
'f0552d4a3c70907';'20W';'PS';2.0;2.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'kreative Schreprozesse. Großer Zeitaufwand für Texte ist stets gegeben.
Interessant Methode, der Feedback-Gebung an Studienkollegen und späterer Reflexion.'
